Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
1990.0,0.0,1990.0,0.0
1990.25,0.0,1990.25,0.0
1990.5,0.0,1990.5,0.0
1990.75,0.0,1990.75,0.0
1991.0,0.0,1991.0,0.0
1991.25,0.0,1991.25,0.0
1991.5,0.0,1991.5,0.0
1991.75,0.0,1991.75,0.0
1992.0,0.0,1992.0,0.0
1992.25,0.0,1992.25,0.0
1992.5,0.0,1992.5,0.0
1992.75,0.0,1992.75,0.0
1993.0,0.0,1993.0,0.0
1993.25,0.0,1993.25,0.0
1993.5,0.0,1993.5,0.0
1993.75,0.0,1993.75,0.0
1994.0,0.0,1994.0,0.0
1994.25,0.0,1994.25,0.0
1994.5,0.0,1994.5,0.0
1994.75,0.0,1994.75,0.0
1995.0,0.0,1995.0,0.0
1995.25,0.0,1995.25,0.0
1995.5,0.0,1995.5,0.0
1995.75,0.0,1995.75,0.0
1996.0,0.0,1996.0,0.0
1996.25,0.0,1996.25,0.0
1996.5,0.0,1996.5,0.0
1996.75,0.0,1996.75,0.0
1997.0,0.0,1997.0,0.0
1997.25,0.0,1997.25,0.0
1997.5,0.0,1997.5,0.0
1997.75,0.0,1997.75,0.0
1998.0,0.0,1998.0,0.0
1998.25,0.0,1998.25,0.0
1998.5,0.0,1998.5,0.0
1998.75,0.0,1998.75,0.0
1999.0,0.0,1999.0,0.0
1999.25,0.0,1999.25,0.0
1999.5,0.0,1999.5,0.0
1999.75,0.0,1999.75,0.0
2000.0,0.0,2000.0,0.0
2000.25,0.0,2000.25,0.0
2000.5,0.0,2000.5,0.0
2000.75,0.0,2000.75,0.0
2001.0,0.0,2001.0,0.0
2001.25,0.0,2001.25,0.0
2001.5,0.0,2001.5,0.0
2001.75,0.0,2001.75,0.0
2002.0,0.0,2002.0,0.0
2002.25,0.0,2002.25,0.0
2002.5,0.0,2002.5,0.0
2002.75,0.0,2002.75,0.0
2003.0,0.0,2003.0,0.0
2003.25,0.0,2003.25,0.0
2003.5,0.0,2003.5,0.0
2003.75,0.0,2003.75,0.0
2004.0,0.0,2004.0,0.0
2004.25,0.0,2004.25,0.0
2004.5,0.0,2004.5,0.0
2004.75,0.0,2004.75,0.0
2005.0,0.0,2005.0,0.0
2005.25,0.0,2005.25,0.0
2005.5,0.0,2005.5,0.0
2005.75,0.0,2005.75,0.0
2006.0,0.0,2006.0,0.0
2006.25,0.0,2006.25,0.0
2006.5,0.0,2006.5,0.0
2006.75,0.0,2006.75,0.0
2007.0,0.0,2007.0,0.0
2007.25,0.0,2007.25,0.0
2007.5,0.0,2007.5,0.0
2007.75,0.0,2007.75,0.0
2008.0,0.0,2008.0,0.0
2008.25,0.0,2008.25,0.0
2008.5,0.0,2008.5,0.0
2008.75,0.0,2008.75,0.0
2009.0,0.0,2009.0,0.0
2009.25,0.0,2009.25,0.0
2009.5,0.0,2009.5,0.0
2009.75,0.0,2009.75,0.0
2010.0,0.0,2010.0,0.0
2010.25,0.0,2010.25,0.0
2010.5,0.0,2010.5,0.0
2010.75,0.0,2010.75,0.0
2011.0,0.0,2011.0,0.0
2011.25,0.0,2011.25,0.0
2011.5,0.0,2011.5,0.0
2011.75,0.0,2011.75,0.0
2012.0,0.0,2012.0,0.0
2012.25,0.0,2012.25,0.0
2012.5,0.0,2012.5,0.0
2012.75,0.0,2012.75,0.0
2013.0,0.0,2013.0,0.0
